id,name,dog_status,is_spayed,is_house_trained,is_declawed,has_special_needs,shots_current,address,country,state,City,gender,age,primary breed,secondary breed,Rank_x,Total Score,Pet Budget Rank,Pet Health and Wellness Rank,Outdoor Pet Friendliness Rank,Rank_y
44728845.0,PETER,adoptable,True,False,,False,False,11660 Administration Dr,US,MO,St. Louis,Male,Young,Dachshund,,20.0,50.91,32.0,33.0,41.0,12.0
44728497.0,KIKI,adoptable,True,False,,False,False,1705 S. Hanley,US,MO,Saint Louis,Male,Young,Dachshund,,,,,,,12.0
44728442.0,Zoe,adoptable,True,True,,False,True,4400 Audubon Lane,US,MS,Gautier,Female,Young,Dachshund,,,,,,,12.0
44728328.0,Koda,adoptable,False,False,,False,False,2050 Spindletop Rd,US,TX,Beaumont,Male,Adult,Dachshund,,,,,,,12.0
44728279.0,A517489,adoptable,False,False,,False,False,3647 Cornucopia Way,US,CA,Modesto,Male,Young,Dachshund,,,,,,,12.0
44728035.0,BENTLY,adoptable,False,False,,False,False,2769 Conroy Road,US,FL,Orlando,Male,Adult,Dachshund,,2.0,58.35,14.0,4.0,46.0,12.0
44728038.0,KIKO,adoptable,False,False,,False,False,2769 Conroy Road,US,FL,Orlando,Male,Young,Dachshund,,2.0,58.35,14.0,4.0,46.0,12.0
44729771.0,JAKE,adoptable,True,False,,False,False,4750 West South Range Rd.,US,OH,Canfield,Male,Young,Rottweiler,Mixed Breed,,,,,,8.0
44729434.0,STAR,adoptable,False,False,,False,False,612 Canino Rd,US,TX,Houston,Female,Adult,Rottweiler,Mixed Breed,61.0,45.46,46.0,45.0,71.0,8.0
44729288.0,SOPHIA,adoptable,True,False,,False,False,2811 SE 29th Street,US,OK,Oklahoma City,Female,Adult,Rottweiler,Mixed Breed,26.0,50.42,2.0,69.0,82.0,8.0
44729012.0,BOOBAH,adoptable,False,False,,False,False,3031 N Erie Ave,US,OK,Tulsa,Male,Young,Rottweiler,Mixed Breed,35.0,48.77,7.0,59.0,75.0,8.0
44728902.0,A490681,adoptable,False,False,,False,False,3750 Brown Station Rd,US,MD,Upper Marlboro,Male,Adult,Rottweiler,Mixed Breed,,,,,,8.0
44728896.0,BRUTUS,adoptable,True,False,,False,False,3750 Brown Station Rd,US,MD,Upper Marlboro,Male,Adult,Rottweiler,Mixed Breed,,,,,,8.0
44727553.0,BEAR,adoptable,True,False,,False,False,1241 W. Bayaud Avenue,US,CO,Denver,Male,Adult,Rottweiler,Mixed Breed,22.0,50.79,81.0,7.0,50.0,8.0
44728816.0,BUTTERBEAN,adoptable,True,False,,False,False,3501 E 71st St,US,CO,Loveland,Male,Adult,Rottweiler,Mixed Breed,,,,,,8.0
44727814.0,A529756,adoptable,False,False,,False,False,4710 State Hwy 151,US,TX,San Antonio,Male,Adult,Rottweiler,Mixed Breed,34.0,48.9,8.0,60.0,63.0,8.0
44728457.0,SPYRO,adoptable,False,False,,False,False,11800 Sunset Gardens SW,US,NM,Albuquerque,Male,Young,Rottweiler,Mixed Breed,13.0,52.85,6.0,79.0,20.0,8.0
44728239.0,CAPONE,adoptable,True,False,,False,False,2070 Griffin Road,US,FL,Fort Lauderdale,Male,Young,Rottweiler,Mixed Breed,,,,,,8.0
44728228.0,Stewart Little!,adoptable,True,False,,False,True,,US,WI,Genoa City,Male,Baby,Rottweiler,Mixed Breed,,,,,,8.0
44727697.0,A179044,adoptable,False,False,,False,False,5245 Feather River Blvd.,US,CA,Olivehurst,Male,Young,Rottweiler,Mixed Breed,,,,,,8.0
44727278.0,Joe,adoptable,True,False,,False,False,14444 Okeechobee Blvd.,US,FL,Loxahatchee,Male,Young,Rottweiler,Mixed Breed,,,,,,8.0
44727284.0,Rocco,adoptable,False,False,,False,False,128 Brainerd Lane,US,PA,Stroudsburg,Male,Young,Rottweiler,Mixed Breed,,,,,,8.0
44726139.0,Theia,adoptable,True,False,,True,False,616 N. Spring St.,US,TN,Clarksville,Female,Young,Rottweiler,Mixed Breed,,,,,,8.0
44725902.0,Arya,adoptable,True,False,,False,False,,US,CA,Rancho Santa Margarita,Female,Baby,Rottweiler,Mixed Breed,,,,,,8.0
44725885.0,Viktorbear,adoptable,True,True,,False,True,1250 North River Drive,US,MN,Mankato,Male,Adult,Rottweiler,Mixed Breed,,,,,,8.0
44724866.0,SIMONE,adoptable,True,False,,False,False,305 - 25th Street West,US,FL,Palmetto,Female,Adult,Rottweiler,Mixed Breed,,,,,,8.0
44723912.0,Lily the Mini Rotty!,adoptable,True,False,,False,True,,US,PA,Media,Female,Young,Rottweiler,Mixed Breed,,,,,,8.0
44730412.0,Aurora,adoptable,True,False,,False,True,8303 Murray Ridge Road,US,OH,Elyria,Female,Young,Boxer,,,,,,,11.0
